Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",5,155.0,8,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Squat (Barbell)",6,155.0,8,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Back Extension",1,10.0,10,0,0,"",,
2022-11-18 07:13:11,"Test Workout C",58m,"Back Extension",2,10.0,10,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Back Extension",3,10.0,10,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Incline Bench Press (Dumbbell)",1,50.0,10,0,0,"",,
2022-11-18 07:13:11,"Test Workout C",58m,"Incline Bench Press (Dumbbell)",2,50.0,10,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Incline Bench Press (Dumbbell)",3,50.0,10,0,0,,,
2022-11-18 07:13:11,"Test Workout C",58m,"Push Up",1,0,20,0,0,"",,
2022-11-18 07:13:11,"Test Workout C",58m,"Lat Pulldown (Cable)",1,100.0,10,0,0,"",,
2022-11-18 07:13:11,"Test Workout C",58m,"Knee Raise (Captain's Chair)",1,0,10,0,0,"",,
2022-11-18 07:13:11,"Test Workout C",58m,"Knee Raise (Captain's Chair)",2,0,10,0,0,,,
